代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
03759,康龙化成,21.88,1.39,0.3,21.88,21.88,3800.0,83144.0,21.88,21.58,21.88,21.88
00921,海信家电,21.36,1.04,0.22,21.36,21.36,2000.0,42720.0,21.36,21.14,21.36,21.36
00914,海螺水泥,20.9,0.0,0.0,20.9,20.9,18000.0,376200.0,20.9,20.9,20.9,20.9
06680,金力永磁,20.9,1.55,0.32,20.9,20.9,6800.0,142120.0,20.9,20.58,20.9,20.9
06690,海尔智家,20.8,-0.57,-0.12,20.8,20.8,130600.0,2716480.0,20.8,20.92,20.8,20.8
03908,中金公司,20.02,3.95,0.76,20.02,20.02,921200.0,18442424.0,20.02,19.26,20.02,20.02
09981,沃尔核材,19.6,1.77,0.34,19.6,19.6,5000.0,98000.0,19.6,19.26,19.6,19.6
03993,洛阳钼业,19.32,0.0,0.0,19.32,19.32,846000.0,16349856.0,19.32,19.32,19.32,19.32
00564,中创智领,18.65,-0.32,-0.06,18.65,18.65,8600.0,160390.0,18.65,18.71,18.65,18.65
01138,中远海能,18.63,0.0,0.0,18.63,18.63,56000.0,1043280.0,18.63,18.63,18.63,18.63
06613,蓝思科技,18.15,-7.68,-1.51,18.15,18.15,646200.0,11728530.0,18.15,19.66,18.15,18.15
06655,华新建材,17.5,0.11,0.02,17.5,17.5,100.0,1750.0,17.5,17.48,17.5,17.5
00699,均胜电子,16.4,2.12,0.34,16.4,16.4,26000.0,426400.0,16.4,16.06,16.4,16.4
06886,华泰证券,15.99,0.0,0.0,15.99,15.99,1027800.0,16465322.0,15.99,15.99,15.99,15.99
09969,诺诚健华,15.62,0.39,0.06,15.62,15.62,7000.0,109340.0,15.62,15.56,15.62,15.62
02465,龙蟠科技,15.24,14.85,1.97,15.24,15.24,1066500.0,16253460.0,15.24,13.27,15.24,15.24
02208,金风科技,15.2,1.54,0.23,15.2,15.2,67000.0,1018400.0,15.2,14.97,15.2,15.2
01919,中远海控,15.15,0.07,0.01,15.15,15.15,24000.0,363595.0,15.15,15.14,15.15,15.15
01171,兖矿能源,14.92,1.5,0.22,14.92,14.92,2000.0,29840.0,14.92,14.7,14.92,14.92
00317,中船防务,14.59,1.89,0.27,14.59,14.59,4000.0,58360.0,14.59,14.32,14.59,14.59
02611,国泰海通,14.22,0.0,0.0,14.22,14.22,49200.0,699624.0,14.22,14.22,14.22,14.22
06099,招商证券,14.0,0.86,0.12,14.0,14.0,2200.0,30800.0,14.0,13.88,14.0,14.0
01898,中煤能源,13.54,0.07,0.01,13.54,13.54,3000.0,40620.0,13.54,13.53,13.54,13.54
00638,广和通,13.38,-1.33,-0.18,13.38,13.38,9200.0,123096.0,13.38,13.56,13.38,13.38
02333,长城汽车,13.3,-0.08,-0.01,13.3,13.3,25000.0,332500.0,13.3,13.31,13.3,13.3
02715,埃斯顿,12.94,0.0,0.0,12.94,12.94,200.0,2588.0,12.94,12.94,12.94,12.94
02603,吉宏股份,12.88,0.0,0.0,12.88,12.88,500.0,6440.0,12.88,12.88,12.88,12.88
02600,中国铝业,12.78,1.59,0.2,12.78,12.78,136000.0,1738080.0,12.78,12.58,12.78,12.78
02701,国民技术,12.77,0.39,0.05,12.77,12.77,3600.0,45972.0,12.77,12.72,12.77,12.77
02607,上海医药,11.79,0.08,0.01,11.79,11.79,200.0,2358.0,11.79,11.78,0.0,0.0
06066,中信建投证券,11.01,0.55,0.06,11.01,11.01,11500.0,126615.0,11.01,10.95,11.01,11.01
02691,南华期货股份,10.94,0.46,0.05,10.94,10.94,500.0,5470.0,10.94,10.89,0.0,0.0
00857,中国石油股份,10.48,-0.95,-0.1,10.48,10.48,2968000.0,31104640.0,10.48,10.58,10.48,10.48
00177,江苏宁沪高速公路,10.35,-1.24,-0.13,10.35,10.35,4000.0,41400.0,10.35,10.48,10.35,10.35
01157,中联重科,8.92,-0.34,-0.03,8.92,8.92,1600.0,14272.0,8.92,8.95,8.92,8.92
06881,中国银河,8.76,1.15,0.1,8.76,8.76,52500.0,459900.0,8.76,8.66,8.76,8.76
00939,建设银行,8.48,0.0,0.0,8.48,8.48,5407000.0,45851952.9,8.48,8.48,8.48,8.48
01963,重庆银行,8.23,0.24,0.02,8.23,8.23,1500.0,12345.0,8.23,8.21,0.0,0.0
00998,中信银行,8.2,0.24,0.02,8.2,8.2,79000.0,647800.0,8.2,8.18,8.2,8.2
00568,山东墨龙,8.2,-1.91,-0.16,8.2,8.2,371200.0,3043840.0,8.2,8.36,8.2,8.2
06178,光大证券,8.08,0.0,0.0,8.08,8.08,400.0,3232.0,8.08,8.08,8.08,8.08
06198,青岛港,7.4,0.14,0.01,7.4,7.4,1000.0,7400.0,7.4,7.39,7.4,7.4
01398,工商银行,6.97,-0.29,-0.02,6.97,6.97,4774000.0,33487400.0,6.97,6.99,6.97,6.97
00916,龙源电力,6.35,0.79,0.05,6.35,6.35,2055000.0,12952138.0,6.35,6.3,6.35,6.35
03958,东方证券,6.07,1.68,0.1,6.07,6.07,1600.0,9712.0,6.07,5.97,6.07,6.07
01288,农业银行,5.99,-0.17,-0.01,5.99,5.99,222000.0,1329860.0,5.99,6.0,5.99,5.99
01057,浙江世宝,5.62,1.81,0.1,5.62,5.62,200000.0,1124000.0,5.62,5.52,5.62,5.62
01186,中国铁建,5.5,0.0,0.0,5.5,5.5,1500.0,8250.0,5.5,5.5,5.5,5.5
01339,中国人民保险集团,5.38,0.19,0.01,5.38,5.38,209000.0,1124420.0,5.38,5.37,5.38,5.38
03988,中国银行,5.14,0.19,0.01,5.14,5.14,783000.0,4024620.0,5.14,5.13,5.14,5.14
01766,中国中车,5.11,0.0,0.0,5.11,5.11,1000.0,5110.0,0.0,5.11,0.0,0.0
00753,中国国航,5.02,0.8,0.04,5.02,5.02,14000.0,70280.0,5.02,4.98,5.02,5.02
01658,邮储银行,5.01,-0.2,-0.01,5.01,5.01,32000.0,160320.0,5.01,5.02,5.01,5.01
00553,南京熊猫电子股份,4.96,-0.6,-0.03,4.96,4.96,10000.0,49600.0,4.96,4.99,4.96,4.96
00728,中国电信,4.91,0.2,0.01,4.91,4.91,106000.0,520460.0,4.91,4.9,4.91,4.91
00187,京城机电股份,4.69,1.74,0.08,4.69,4.69,58000.0,272020.0,4.69,4.61,4.69,4.69
01456,国联民生,4.65,0.43,0.02,4.65,4.65,1000.0,4650.0,4.65,4.63,4.65,4.65
00386,中国石油化工股份,4.55,0.22,0.01,4.55,4.55,6552000.0,29940627.0,4.55,4.54,4.55,4.55
01055,中国南方航空股份,4.26,1.19,0.05,4.26,4.26,4000.0,17040.0,4.26,4.21,4.26,4.26
00390,中国中铁,4.09,0.25,0.01,4.09,4.09,18000.0,73620.0,4.09,4.08,4.09,4.09
01071,华电国际电力股份,4.04,0.5,0.02,4.04,4.04,4000.0,16160.0,4.04,4.02,4.04,4.04
