序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
90,601778,晶科科技,6.55,8.26%,15.06%,20.02亿,14.99亿,5.03亿,35.00亿
91,300657,弘信电子,35.51,8.26%,8.94%,9.07亿,5.33亿,3.74亿,14.41亿
92,688685,迈信林,44.19,8.20%,2.81%,1.11亿,6239.14万,4889.98万,1.74亿
93,600749,西藏旅游,19.6,8.17%,13.17%,3.28亿,2.37亿,9045.07万,5.65亿
94,300840,酷特智能,20.02,8.10%,8.51%,1.73亿,1.26亿,4764.31万,2.99亿
95,70,特发信息,20.4,8.05%,17.22%,16.66亿,13.77亿,2.89亿,30.43亿
96,300696,爱乐达,34.1,8.05%,4.78%,2.46亿,1.86亿,5980.35万,4.32亿
97,301157,华塑科技,79.76,8.03%,26.30%,2.10亿,2.15亿,-521.67万,4.26亿
98,300410,正业科技,9.7,8.02%,12.18%,2.40亿,1.83亿,5700.94万,4.23亿
99,300442,润泽科技,97.36,7.87%,3.47%,33.76亿,19.60亿,14.16亿,53.36亿
100,2929,润建股份,63.97,7.78%,8.31%,5.78亿,4.95亿,8335.15万,10.73亿
101,2859,洁美科技,45.39,7.76%,1.71%,1.85亿,1.18亿,6691.68万,3.03亿
102,300684,中石科技,58.35,7.74%,6.32%,4.54亿,2.66亿,1.88亿,7.20亿
103,2240,盛新锂能,49.85,7.74%,7.77%,17.98亿,17.25亿,7255.90万,35.23亿
104,300322,硕贝德,31.23,7.69%,14.91%,12.20亿,7.71亿,4.49亿,19.90亿
105,300069,金利华电,23.91,7.65%,11.19%,1.89亿,1.15亿,7433.97万,3.04亿
106,688227,品高股份,75.76,7.63%,3.88%,1.85亿,1.44亿,4176.65万,3.29亿
107,300385,ST雪浪,14.76,7.58%,7.53%,1.82亿,1.32亿,5076.58万,3.14亿
108,300938,信测标准,49.0,7.57%,5.09%,2.67亿,2.34亿,3262.31万,5.01亿
109,600549,厦门钨业,60.51,7.57%,4.30%,22.98亿,16.09亿,6.89亿,39.06亿
110,301123,奕东电子,67.05,7.54%,7.71%,4.97亿,3.34亿,1.62亿,8.31亿
111,1223,欧克科技,55.89,7.52%,1.62%,5065.05万,3127.54万,1937.51万,8196.50万
112,300738,奥飞数据,25.15,7.48%,8.73%,13.16亿,7.88亿,5.28亿,21.04亿
113,600986,浙文互联,10.98,7.44%,15.35%,14.11亿,10.69亿,3.42亿,24.80亿
114,603129,春风动力,273.74,7.40%,2.58%,6.47亿,4.02亿,2.45亿,10.49亿
115,600382,广东明珠,10.02,7.40%,4.17%,1.78亿,1.03亿,7577.40万,2.81亿
116,301128,强瑞技术,191.0,7.39%,6.66%,6.24亿,5.36亿,8785.08万,11.60亿
117,2733,雄韬股份,32.37,7.33%,8.72%,6.09亿,4.03亿,2.06亿,10.12亿
118,605178,时空科技,86.88,7.25%,3.35%,1.51亿,1.28亿,2304.80万,2.79亿
